source,series_id,series_label,weighting,window,class,long_side,excess_convention,n_months,ann_arith_return_pct,ann_geo_return_pct,ann_vol_pct,sharpe_excess_rf,max_drawdown_pct
french,BEME_D_decile09,10 Portfolios Formed on Book-to-Market - decile 9 (9),ew,W_select,a,n/a,subtract_rf,27,19.8889,19.7218,19.3338,0.784,-12.1293
french,BEME_D_decile10,10 Portfolios Formed on Book-to-Market - decile 10 (Hi),vw,W_common,a,n/a,subtract_rf,15,31.784,33.6264,23.328,1.14,-5.43
french,BEME_D_decile10,10 Portfolios Formed on Book-to-Market - decile 10 (Hi),ew,W_common,a,n/a,subtract_rf,15,22.232,21.8175,22.5113,0.7568,-7.08
french,BEME_D_decile10,10 Portfolios Formed on Book-to-Market - decile 10 (Hi),vw,W_select,a,n/a,subtract_rf,27,33.2222,36.0451,20.8821,1.3643,-13.8989
french,BEME_D_decile10,10 Portfolios Formed on Book-to-Market - decile 10 (Hi),ew,W_select,a,n/a,subtract_rf,27,15.0,13.8225,20.3502,0.505,-16.1689
french,BEME_D_spread,10 Portfolios Formed on Book-to-Market - top minus bottom decile (long=high; french f-f_5_factors_2x3 detail page: HML = High minus Low B/M),vw,W_common,b,high,already_excess,15,-3.648,-5.3561,20.0439,-0.182,-13.8761
french,BEME_D_spread,10 Portfolios Formed on Book-to-Market - top minus bottom decile (long=high; french f-f_5_factors_2x3 detail page: HML = High minus Low B/M),ew,W_common,b,high,already_excess,15,4.92,4.4529,10.9253,0.4503,-6.4734
french,BEME_D_spread,10 Portfolios Formed on Book-to-Market - top minus bottom decile (long=high; french f-f_5_factors_2x3 detail page: HML = High minus Low B/M),vw,W_select,b,high,already_excess,27,5.6844,4.2758,17.6699,0.3217,-15.8563
french,BEME_D_spread,10 Portfolios Formed on Book-to-Market - top minus bottom decile (long=high; french f-f_5_factors_2x3 detail page: HML = High minus Low B/M),ew,W_select,b,high,already_excess,27,3.9644,3.5907,9.4728,0.4185,-9.5529
french,BETA_D_decile01,10 Portfolios Formed on Market Beta - decile 1 (Lo),vw,W_common,a,n/a,subtract_rf,15,15.768,16.2925,11.0935,0.9597,-6.49
french,BETA_D_decile01,10 Portfolios Formed on Market Beta - decile 1 (Lo),ew,W_common,a,n/a,subtract_rf,15,6.328,5.0319,17.3493,0.0663,-8.22
french,BETA_D_decile01,10 Portfolios Formed on Market Beta - decile 1 (Lo),vw,W_select,a,n/a,subtract_rf,27,13.8444,14.1039,10.9581,0.8337,-7.8929
french,BETA_D_decile01,10 Portfolios Formed on Market Beta - decile 1 (Lo),ew,W_select,a,n/a,subtract_rf,27,4.96,3.7997,15.9406,0.0145,-16.0787
french,BETA_D_decile02,10 Portfolios Formed on Market Beta - decile 2 (2),vw,W_common,a,n/a,subtract_rf,15,14.128,14.4239,11.0868,0.8104,-6.52
french,BETA_D_decile02,10 Portfolios Formed on Market Beta - decile 2 (2),ew,W_common,a,n/a,subtract_rf,15,19.528,19.4135,19.0813,0.7517,-5.42
french,BETA_D_decile02,10 Portfolios Formed on Market Beta - decile 2 (2),vw,W_select,a,n/a,subtract_rf,27,14.2933,14.73,9.9108,0.9664,-6.52
french,BETA_D_decile02,10 Portfolios Formed on Market Beta - decile 2 (2),ew,W_select,a,n/a,subtract_rf,27,14.1022,13.7038,15.9086,0.5899,-11.8505
french,BETA_D_decile03,10 Portfolios Formed on Market Beta - decile 3 (3),vw,W_common,a,n/a,subtract_rf,15,25.216,27.3523,13.1703,1.5194,-4.71
french,BETA_D_decile03,10 Portfolios Formed on Market Beta - decile 3 (3),ew,W_common,a,n/a,subtract_rf,15,21.088,21.3492,18.6436,0.8531,-5.53
french,BETA_D_decile03,10 Portfolios Formed on Market Beta - decile 3 (3),vw,W_select,a,n/a,subtract_rf,27,18.2844,18.9063,13.356,1.0169,-7.046
french,BETA_D_decile03,10 Portfolios Formed on Market Beta - decile 3 (3),ew,W_select,a,n/a,subtract_rf,27,13.2044,12.6839,15.9688,0.5317,-14.6462
french,BETA_D_decile04,10 Portfolios Formed on Market Beta - decile 4 (4),vw,W_common,a,n/a,subtract_rf,15,25.448,28.0303,10.3054,1.9623,-3.47
french,BETA_D_decile04,10 Portfolios Formed on Market Beta - decile 4 (4),ew,W_common,a,n/a,subtract_rf,15,24.864,25.6248,20.0738,0.9798,-6.2
french,BETA_D_decile04,10 Portfolios Formed on Market Beta - decile 4 (4),vw,W_select,a,n/a,subtract_rf,27,21.3378,22.604,12.7601,1.3034,-13.5309
french,BETA_D_decile04,10 Portfolios Formed on Market Beta - decile 4 (4),ew,W_select,a,n/a,subtract_rf,27,17.4044,17.1971,17.4104,0.7287,-14.0896
french,BETA_D_decile05,10 Portfolios Formed on Market Beta - decile 5 (5),vw,W_common,a,n/a,subtract_rf,15,26.576,28.3248,17.3149,1.2354,-6.47
french,BETA_D_decile05,10 Portfolios Formed on Market Beta - decile 5 (5),ew,W_common,a,n/a,subtract_rf,15,23.136,23.6658,19.3097,0.9295,-5.56
french,BETA_D_decile05,10 Portfolios Formed on Market Beta - decile 5 (5),vw,W_select,a,n/a,subtract_rf,27,17.6711,17.946,14.9058,0.8703,-11.5682
french,BETA_D_decile05,10 Portfolios Formed on Market Beta - decile 5 (5),ew,W_select,a,n/a,subtract_rf,27,20.2578,20.58,17.1529,0.9059,-16.0999
french,BETA_D_decile06,10 Portfolios Formed on Market Beta - decile 6 (6),vw,W_common,a,n/a,subtract_rf,15,30.24,33.3687,15.5394,1.6117,-4.4
french,BETA_D_decile06,10 Portfolios Formed on Market Beta - decile 6 (6),ew,W_common,a,n/a,subtract_rf,15,17.2,16.2557,21.1069,0.5692,-6.7434
french,BETA_D_decile06,10 Portfolios Formed on Market Beta - decile 6 (6),vw,W_select,a,n/a,subtract_rf,27,21.4667,22.535,14.3088,1.1725,-10.9322
french,BETA_D_decile06,10 Portfolios Formed on Market Beta - decile 6 (6),ew,W_select,a,n/a,subtract_rf,27,16.2044,15.0615,21.1349,0.5433,-20.6137
french,BETA_D_decile07,10 Portfolios Formed on Market Beta - decile 7 (7),vw,W_common,a,n/a,subtract_rf,15,34.208,38.7402,14.9283,1.9391,-5.3
french,BETA_D_decile07,10 Portfolios Formed on Market Beta - decile 7 (7),ew,W_common,a,n/a,subtract_rf,15,23.312,23.0501,22.9032,0.791,-7.11
french,BETA_D_decile07,10 Portfolios Formed on Market Beta - decile 7 (7),vw,W_select,a,n/a,subtract_rf,27,26.0578,27.5658,17.5212,1.2185,-15.7157
french,BETA_D_decile07,10 Portfolios Formed on Market Beta - decile 7 (7),ew,W_select,a,n/a,subtract_rf,27,14.1511,12.8239,20.6292,0.4571,-19.0217
french,BETA_D_decile08,10 Portfolios Formed on Market Beta - decile 8 (8),vw,W_common,a,n/a,subtract_rf,15,29.32,31.7844,17.5615,1.3732,-6.495
french,BETA_D_decile08,10 Portfolios Formed on Market Beta - decile 8 (8),ew,W_common,a,n/a,subtract_rf,15,20.872,19.4784,25.3607,0.6183,-9.65
french,BETA_D_decile08,10 Portfolios Formed on Market Beta - decile 8 (8),vw,W_select,a,n/a,subtract_rf,27,31.1067,33.2345,21.0418,1.2535,-16.5263
french,BETA_D_decile08,10 Portfolios Formed on Market Beta - decile 8 (8),ew,W_select,a,n/a,subtract_rf,27,17.4933,16.187,22.4428,0.5688,-18.8397
french,BETA_D_decile09,10 Portfolios Formed on Market Beta - decile 9 (9),vw,W_common,a,n/a,subtract_rf,15,77.04,102.9468,30.6026,2.3474,-6.72
french,BETA_D_decile09,10 Portfolios Formed on Market Beta - decile 9 (9),ew,W_common,a,n/a,subtract_rf,15,24.448,23.9623,24.736,0.7782,-10.0984
french,BETA_D_decile09,10 Portfolios Formed on Market Beta - decile 9 (9),vw,W_select,a,n/a,subtract_rf,27,58.6267,71.8588,26.5438,2.0336,-12.2319
french,BETA_D_decile09,10 Portfolios Formed on Market Beta - decile 9 (9),ew,W_select,a,n/a,subtract_rf,27,17.3467,15.9932,22.5586,0.5597,-18.5993
french,BETA_D_decile10,10 Portfolios Formed on Market Beta - decile 10 (Hi),vw,W_common,a,n/a,subtract_rf,15,39.696,36.7992,41.972,0.8212,-16.85
french,BETA_D_decile10,10 Portfolios Formed on Market Beta - decile 10 (Hi),ew,W_common,a,n/a,subtract_rf,15,13.16,9.0961,30.9641,0.2576,-9.79
french,BETA_D_decile10,10 Portfolios Formed on Market Beta - decile 10 (Hi),vw,W_select,a,n/a,subtract_rf,27,25.8267,20.355,38.6928,0.5452,-29.6655
french,BETA_D_decile10,10 Portfolios Formed on Market Beta - decile 10 (Hi),ew,W_select,a,n/a,subtract_rf,27,7.8311,4.2425,27.5842,0.1125,-25.7205
french,BETA_D_spread,10 Portfolios Formed on Market Beta - top minus bottom decile (long=low; standard betting-against-beta anomaly (Frazzini-Pedersen 2014); not independently re-verified today),vw,W_common,b,low,already_excess,15,-23.928,-28.2127,42.5789,-0.562,-43.2203
